timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680412751162,669,/payment-methods,200,OK,traffic distribution gojek 1-54,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,416,0,0
1680412751311,613,/voucher,200,OK,traffic distribution gojek 1-56,text,true,,19182,179,3,3,https://api-staging-builder.engineer.ai/configurations,370,0,0
1680412751261,752,/pay,200,OK,traffic distribution gojek 1-57,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,487,0,0
1680412751020,1167,/destination,200,OK,traffic distribution gojek 1-58,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,917,0,532
1680412751926,581,/payment-methods,200,OK,traffic distribution gojek 1-56,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,333,0,0
1680412752188,575,/pickup-location,200,OK,traffic distribution gojek 1-58,text,true,,19175,179,3,3,https://api-staging-builder.engineer.ai/configurations,319,0,0
1680412752508,564,/history,200,OK,traffic distribution gojek 1-56,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,315,0,0
1680412752019,1163,/top-up,200,OK,traffic distribution gojek 1-59,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,909,0,575
1680412752764,599,/choose-vehicle,200,OK,traffic distribution gojek 1-58,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,347,0,0
1680412753074,581,/ongoing,200,OK,traffic distribution gojek 1-56,text,true,,19175,179,4,4,https://api-staging-builder.engineer.ai/configurations,340,0,0
1680412753183,572,/pay,200,OK,traffic distribution gojek 1-59,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,326,0,0
1680412753364,564,/voucher,200,OK,traffic distribution gojek 1-58,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,315,0,0
1680412753019,1099,/destination,200,OK,traffic distribution gojek 1-60,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,853,0,531
1680412753656,567,/scheduled,200,OK,traffic distribution gojek 1-56,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,313,0,0
1680412754118,544,/pickup-location,200,OK,traffic distribution gojek 1-60,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,303,0,0
1680412753929,912,/payment-methods,200,OK,traffic distribution gojek 1-58,text,true,,19175,179,2,2,https://api-staging-builder.engineer.ai/configurations,335,0,0
1680412754663,590,/choose-vehicle,200,OK,traffic distribution gojek 1-60,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,347,0,0
1680412755254,600,/voucher,200,OK,traffic distribution gojek 1-60,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,323,0,0
1680412755019,1181,/top-up,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,860,0,518
1680412755855,639,/payment-methods,200,OK,traffic distribution gojek 1-60,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,370,0,0
1680412756201,644,/pay,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,1,1,https://api-staging-builder.engineer.ai/configurations,368,0,0
1680412756846,573,/destination,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,316,0,0
1680412757420,744,/pickup-location,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,454,0,0
1680412757023,1284,/top-up,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,1002,0,503
1680412758165,845,/choose-vehicle,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,486,0,0
1680412758308,710,/pay,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,372,0,0
1680412759011,651,/voucher,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,373,0,0
1680412759019,737,/destination,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,438,0,0
